project,property_address,unit,size,rooms
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",0,,?
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",1,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",10,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",11,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",12,3,3.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",14,2,2.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",15,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",16,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",17,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",20,3,3.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",21,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",22,3,3.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",23,2,2.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",24,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",25,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",26,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",30,3,3.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",31,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",32,3,3.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",33,2,2.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",34,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",35,1,1.5
12,"2350 Ave. Mariette, Montreal, QC, H4B 2E6",36,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",1,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",2,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",3,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",4,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",5,2,2.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",6,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",7,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",10,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",11,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",12,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",14,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",15,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",16,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",17,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",18,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",20,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",21,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",22,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",23,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",24,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",25,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",26,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",27,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",28,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",30,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",31,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",32,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",33,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",34,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",35,1,1.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",36,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",37,3,3.5
12,"2354 Ave. Mariette, Montreal, QC, H4B 2E6",38,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",98,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",99,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",100,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",101,1,1.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",102,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",103,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",104,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",105,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",106,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",107,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",108,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",109,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",110,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",111,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",112,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",114,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",115,1,1.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",201,2,2.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",202,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",203,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",204,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",205,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",206,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",207,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",208,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",209,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",210,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",211,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",212,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",214,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",215,1,1.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",301,1,1.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",302,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",303,3,3.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",304,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",305,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",306,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",307,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",308,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",309,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",310,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",311,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",312,3,"3 1/2 Luxueux au bord de l'eau a Lasalle •	Immeuble propre, calme. •	Chauffage et eau chaude inclus. •	Semi-Meublé (Poêle, Réfrigérateur). •	Rénové. •	Buanderie commune. •	Piscine. •	Sécurisé avec caméras et entrée sans clé. •	Stationnement intérieur disponible.  3 1/2 Luxurious on the water, in Lasalle •	Clean, quiet building. •	Heating, and hot water included. •	Semi-Furnished (Stove, And Refrigerator). •	Renovated. •	Shared laundry room. •	Swimming pool. •	Secure building with Cameras and keyless entry. •	Indoor parking available."
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",314,4,4.5
13,"9379 Boul. Lasalle, LaSalle, QC, H8R 2M8",315,1,1.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",1,3,3.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",2,4,4.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",3,3,3.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",4,3,3.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",5,3,3.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",6,3,3.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",7,3,3.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",8,3,3.5
13,"9399 Boul. Lasalle, LaSalle, QC, H8R 2M8",9,4,4.5
